"id","name","created_at","updated_at"
8,"新築","2020-09-24 15:32:19.01152","2020-09-24 15:32:19.01152"
9,"リフォーム","2020-09-24 15:32:56.53485","2020-09-24 15:32:56.53485"
10,"店舗","2020-09-24 15:33:24.649646","2020-09-24 15:33:24.649646"
11,"マンション","2020-09-24 15:33:48.684194","2020-09-24 15:33:48.684194"
12,"店舗併用住宅","2020-09-24 15:34:13.763634","2020-09-24 15:34:13.763634"
13,"古民家再生","2020-09-24 15:34:37.333435","2020-09-24 15:34:37.333435"
14,"介護リフォーム","2020-09-24 15:35:07.48161","2020-09-24 15:35:07.48161"
